# start_V maxv end_V t10 t50 t90
-2.072524221042210818e-02 1.202712999999999921e+00 9.578035250082499452e-01 1.005849999999999800e-02 1.010849999999999943e-02 1.014699999999999977e-02
-2.069973613416134506e-02 1.181977000000000055e+00 9.578128565265651151e-01 1.005699999999999997e-02 1.010600000000000040e-02 1.014349999999999974e-02
-2.073892839768397972e-02 1.202712999999999921e+00 9.588057300753006773e-01 1.005849999999999800e-02 1.010749999999999843e-02 1.014549999999999827e-02
-2.048573393333933193e-02 1.223449999999999926e+00 9.651779128821287301e-01 1.007550000000000112e-02 1.012549999999999908e-02 1.016349999999999892e-02
-2.068667204632046452e-02 1.202712999999999921e+00 9.560939908529084708e-01 1.005849999999999800e-02 1.010849999999999943e-02 1.014549999999999827e-02
-2.063752619206192171e-02 1.223449999999999926e+00 9.638609245972458162e-01 1.005899999999999850e-02 1.010899999999999993e-02 1.014649999999999927e-02
-2.073146320463204947e-02 1.202712999999999921e+00 9.616891692346922760e-01 1.005750000000000047e-02 1.010650000000000090e-02 1.014349999999999974e-02
-2.069164884168841687e-02 1.202712999999999921e+00 9.556678515165151211e-01 1.005699999999999997e-02 1.010749999999999843e-02 1.014549999999999827e-02
