# start_V maxv end_V t10 t50 t90
-2.070595712837128635e-02 1.181977000000000055e+00 9.591783687066869346e-01 1.005750000000000047e-02 1.010749999999999843e-02 1.014649999999999927e-02
-2.072959690636906604e-02 1.223449999999999926e+00 9.557891612546125515e-01 1.006050000000000000e-02 1.011099999999999846e-02 1.014899999999999830e-02
-2.053612398643986717e-02 1.223449999999999926e+00 9.651269005820057867e-01 1.005949999999999900e-02 1.010950000000000043e-02 1.014649999999999927e-02
-2.049568752407524008e-02 1.202712999999999921e+00 9.654435501035009137e-01 1.051150000000000001e-02 1.056050000000000044e-02 1.059699999999999878e-02
-2.073892839768397625e-02 1.244186000000000014e+00 9.588299920229200746e-01 1.009149999999999978e-02 1.014149999999999774e-02 1.017999999999999808e-02
-2.038122123061230501e-02 1.202712999999999921e+00 9.608922575705756142e-01 1.005699999999999997e-02 1.010600000000000040e-02 1.014299999999999924e-02
-2.067423005790058194e-02 1.223449999999999926e+00 9.666019025770257178e-01 1.006649999999999906e-02 1.011650000000000049e-02 1.015349999999999933e-02
-2.085837148651487061e-02 1.202712999999999921e+00 9.546357855908559342e-01 1.005800000000000097e-02 1.010699999999999793e-02 1.014400000000000024e-02
