# start_V maxv end_V t10 t50 t90
-2.057158365343653844e-02 1.223449999999999926e+00 9.543060719437194139e-01 1.257099999999999884e-02 1.262800000000000034e-02 1.266950000000000021e-02
-1.643026780787807534e-02 1.223449999999999926e+00 9.546550707287071447e-01 1.256649999999999781e-02 1.262500000000000080e-02 1.266499999999999918e-02
-2.047515824318243624e-02 1.202712999999999921e+00 9.538849094170941401e-01 1.256849999999999981e-02 1.262349999999999930e-02 1.266349999999999767e-02
-8.295695778957787661e-03 1.223449999999999926e+00 9.614596138841388084e-01 1.257149999999999934e-02 1.262349999999999930e-02 1.266449999999999868e-02
-2.015664333963339619e-02 1.202712999999999921e+00 9.541878727117271142e-01 1.256649999999999781e-02 1.262199999999999780e-02 1.266199999999999964e-02
-1.932054171781718080e-02 1.057557999999999998e+00 9.549567898208982664e-01 1.256849999999999981e-02 1.263500000000000040e-02 1.269100000000000089e-02
-1.872643677076770569e-02 1.202712999999999921e+00 9.558239989229893041e-01 1.256749999999999881e-02 1.262299999999999880e-02 1.266250000000000014e-02
-1.923344779887798880e-02 1.202712999999999921e+00 9.567926105241051360e-01 1.256600000000000078e-02 1.262199999999999780e-02 1.266250000000000014e-02
