# start_V maxv end_V t10 t50 t90
-2.033020907809078223e-02 1.223449999999999926e+00 9.637732083250831749e-01 1.256600000000000078e-02 1.262349999999999930e-02 1.266349999999999767e-02
-1.934044889928899016e-02 1.202712999999999921e+00 9.699226788947887812e-01 1.256449999999999928e-02 1.262100000000000027e-02 1.266449999999999868e-02
-2.031279029430294383e-02 1.223449999999999926e+00 9.581618553115530679e-01 1.256699999999999831e-02 1.262299999999999880e-02 1.266250000000000014e-02
-2.062695050190502255e-02 1.223449999999999926e+00 9.631106705247052258e-01 1.256600000000000078e-02 1.262349999999999930e-02 1.266349999999999767e-02
-1.993455384633846528e-02 1.202712999999999921e+00 9.586900192481925265e-01 1.256399999999999878e-02 1.262100000000000027e-02 1.266049999999999814e-02
-2.065929967179672144e-02 1.223449999999999926e+00 9.547521185191852888e-01 1.256749999999999881e-02 1.262399999999999980e-02 1.266349999999999767e-02
-2.072026541505415237e-02 1.202712999999999921e+00 9.559757916209161710e-01 1.256649999999999781e-02 1.262249999999999830e-02 1.266199999999999964e-02
-2.059584553085530914e-02 1.223449999999999926e+00 9.573189081570816494e-01 1.256649999999999781e-02 1.262249999999999830e-02 1.266349999999999767e-02
