# start_V maxv end_V t10 t50 t90
-1.966207429994300260e-02 1.264923000000000020e+00 9.700694947829477943e-01 1.006249999999999853e-02 1.011350000000000096e-02 1.015299999999999883e-02
-2.071591071910719450e-02 1.244186000000000014e+00 9.553213411364113172e-01 1.005999999999999950e-02 1.010950000000000043e-02 1.014499999999999777e-02
-2.072275381273813027e-02 1.264923000000000020e+00 9.663823008460081798e-01 1.016399999999999942e-02 1.021549999999999889e-02 1.025150000000000020e-02
-2.064436928569285748e-02 1.244186000000000014e+00 9.655325105781056294e-01 1.005999999999999950e-02 1.011099999999999846e-02 1.014750000000000027e-02
-2.063939249032490514e-02 1.223449999999999926e+00 9.617072101701015230e-01 1.005599999999999897e-02 1.010449999999999890e-02 1.013999999999999971e-02
-1.413347674556745398e-02 1.244186000000000014e+00 9.745361815498154723e-01 1.006100000000000050e-02 1.011000000000000093e-02 1.014699999999999977e-02
-1.992771075270752604e-02 1.223449999999999926e+00 9.649981256292562426e-01 1.005649999999999947e-02 1.010600000000000040e-02 1.014299999999999924e-02
-2.059211293432934228e-02 1.223449999999999926e+00 9.612325469384693788e-01 1.005949999999999900e-02 1.010849999999999943e-02 1.014549999999999827e-02
