# start_V maxv end_V t10 t50 t90
-2.055229857138571661e-02 1.223449999999999926e+00 9.570812654906547534e-01 1.256449999999999928e-02 1.262150000000000077e-02 1.266300000000000064e-02
6.381682490384904538e-02 1.327131999999999978e+00 1.057495169291692960e+00 1.256049999999999875e-02 1.261849999999999777e-02 1.265950000000000061e-02
-2.073644000000000182e-02 1.202712999999999921e+00 9.562227658056580148e-01 1.255900000000000072e-02 1.261599999999999874e-02 1.265699999999999811e-02
-1.970873175651756751e-02 1.223449999999999926e+00 9.619137477754775567e-01 1.256049999999999875e-02 1.261649999999999924e-02 1.265649999999999761e-02
-2.034140686766867934e-02 1.202712999999999921e+00 9.553431146791467876e-01 1.255900000000000072e-02 1.261400000000000021e-02 1.265499999999999958e-02
-2.066987536195362407e-02 1.181977000000000055e+00 9.636494101821017066e-01 1.255949999999999775e-02 1.261400000000000021e-02 1.265349999999999808e-02
-1.831958374943749163e-02 1.202712999999999921e+00 9.685049102121020548e-01 1.255850000000000022e-02 1.261400000000000021e-02 1.265449999999999908e-02
-2.037624443524435613e-02 1.202712999999999921e+00 9.580032195001949580e-01 1.255949999999999775e-02 1.261450000000000071e-02 1.265900000000000011e-02
