# start_V maxv end_V t10 t50 t90
-1.820138485944859316e-02 1.223449999999999926e+00 9.688203155311552184e-01 1.256699999999999831e-02 1.262500000000000080e-02 1.266549999999999968e-02
-2.016784112921129329e-02 1.202712999999999921e+00 9.629203075510754939e-01 1.256550000000000028e-02 1.261999999999999927e-02 1.265950000000000061e-02
-2.052057150091500873e-02 1.244186000000000014e+00 9.649408923169229269e-01 1.256900000000000031e-02 1.262649999999999884e-02 1.266799999999999871e-02
-1.838365998979989840e-02 1.223449999999999926e+00 9.697895492334922540e-01 1.256600000000000078e-02 1.262500000000000080e-02 1.266749999999999821e-02
-1.969566766867668697e-02 1.202712999999999921e+00 9.668967785557853745e-01 1.257300000000000084e-02 1.262949999999999837e-02 1.266950000000000021e-02
-1.811677933819337907e-02 1.223449999999999926e+00 9.661253730417302954e-01 1.256749999999999881e-02 1.262500000000000080e-02 1.266549999999999968e-02
-1.898149753337533344e-02 1.202712999999999921e+00 9.681988364113640610e-01 1.256649999999999781e-02 1.262299999999999880e-02 1.266349999999999767e-02
-1.820760585365853446e-02 1.223449999999999926e+00 9.670305303183031054e-01 1.256649999999999781e-02 1.262500000000000080e-02 1.266600000000000018e-02
